1,7.454,35.676,1.128,0.538
2,22.367,54.605,6.315,21.913
3,34.828,62.224,7.556,36.316
4,24.301,55.81,7.28,24.095
5,42.192,67.65,7.621,47.253
6,23.354,56.366,7.45,25.572
7,41.13,63.492,3.55,27.94
8,23.605,56.232,7.63,28.073
9,28.143,55.787,4.121,16.746
10,25.465,56.561,4.068,18.176
11,32.262,51.408,0.739,0.409
12,36.133,64.223,7.607,37.043
13,26.369,57.514,7.612,27.462
14,29.285,53.053,2.113,9.116
15,30.127,58.067,7.533,28.973
16,28.852,60.727,7.599,30.116
17,21.301,52.953,4.083,14.663
18,31.068,61.517,7.594,31.582
19,24.428,56.531,5.913,23.29
20,26.303,58.634,7.615,29.397
21,40.165,66.23,7.523,42.896
22,26.205,56.736,7.588,25.732
23,33.885,60.728,4.74,24.342
24,26.96,56.573,7.438,25.943
25,29.853,57.535,7.621,28.267
26,25.693,54.589,5.317,18.274
27,29.058,60.197,7.608,31.754
28,31.227,58.111,7.603,29.751
29,31.225,60.318,7.575,32.534
30,28.253,56.905,7.417,26.843
31,23.93,56.07,7.367,27.496
32,25.731,52.217,4.037,12.006
33,27.676,56.764,7.435,26.09
34,24.786,57.569,7.584,27.943
35,15.372,49.52,0.862,2.952
36,23.517,56.13,7.04,24.377
37,9.718,42.905,0.86,0.758
38,14.327,48.58,2.068,7.116
39,24.006,53.929,3.399,12.372
40,19.828,52.718,7.19,24.886
36,23.517,56.13,7.04,24.377
36,23.517,56.13,7.04,24.377
